crash_record_id,crash_date,posted_speed_limit,traffic_control_device,device_condition,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,report_type,crash_type,damage,date_police_notified,prim_contributory_cause,sec_contributory_cause,street_no,street_direction,street_name,beat_of_occurrence,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,injuries_unknown,crash_hour,crash_day_of_week,crash_month,latitude,longitude,location,speed_limit
7f17c276f9985aa79c0ccddf1e553e25a86bdd0d84a7f9be14165a68a25ab62a7dcebe88476551c0d2271405f20a59447125fe7034cf5449916fcce523950cff,2025/3/6 19:01,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T19:04:00.000,IMPROPER OVERTAKING/PASSING,IMPROPER TURNING/NO SIGNAL,9500,S,DR MARTIN LUTHER KING JR DR,511,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,3,41.72179922,-87.61428708,POINT (-87.614287075979 41.721799219894),30
d17753c9596ac32614c70e85870fa7319a8913a2cc908238e9aaa0436942bdbdf67e80150ee3f165b69d47b5a594e812da62fe0b586a23364a2f6708fcbb05bc,2025/3/6 19:00,30,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T20:00:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6346,N,CLARK ST,2433,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,5,3,41.99758526,-87.67061216,POINT (-87.670612155364 41.997585261926),30
84a3a7036c884b55ac0f87d3456b003908c335894e7d0a1b41b201aa82a491bf0a64b8612d2d0ef0cde2823cfea940f5b0d35614335d93968d6f1fd0df7b381a,2025/3/6 18:45,30,UNKNOWN,UNKNOWN,UNKNOWN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T19:00:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,160,W,DIVISION ST,1821,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,3,41.90397323,-87.63382601,POINT (-87.633826005363 41.903973231985),30
cc4ada4326b699901224de14676c2768d89ef7dc7cfee5d7ee589d11fd347e63890fe4a93b938ebfed447b27f49e4f50fe9a56333666e21119eb7142343f1e58,2025/3/6 18:40,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T18:40:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,33,W,KINZIE ST,1831,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,3,41.88912549,-87.62942249,POINT (-87.629422488805 41.889125488003),30
7e35d4248937c3e555a11c0ae839e571fd51b421afd245e551cede8cf5f0d708fc2cd65cd5155c97a0e3f1b7238cd1e9bc6df2f360d612dd86b46b1268b66d69,2025/3/6 18:31,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T18:31:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,1599,W,IRVING PARK RD,1922,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,3,41.95418158,-87.66896988,POINT (-87.668969883338 41.954181575707),30
605d94d667a3d8e7306a28967e9504656656db1c214457eb396da277999483d84ec43a2dfe49ef0fbc387f9474d082824e07d1a70a519f7817edb1a6d9b6468c,2025/3/6 18:30,30,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-03-06T19:00:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2100,W,CERMAK RD,1234,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,4,0,18,5,3,41.85224519,-87.67841789,POINT (-87.67841788835 41.852245185595),30
d27c0fc676a3a1a9a843af09cd40099fa89daaab6316794bfb46c0d0683056bba696bbf4288cd99df7068d450aa9fd9383f807dad92fc94e55907194c541e85d,2025/3/6 18:30,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-03-06T18:37:00.000,FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,9201,W,HIGGINS RD,1614,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,18,5,3,41.98875792,-87.85525468,POINT (-87.855254684426 41.988757923591),30
8f7579dffc29d07e8fe4bab5dc76b7f65821d2766e4db4da63209de133242ab8ad174dfc36d4e3d6fce3d2488afc017842dc2ce9c1a7abe46bb42b16bbf258a2,2025/3/6 18:20,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,$500 OR LESS,2025-03-06T19:10:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,9202,S,STONY ISLAND AVE,413,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,3,41.72766604,-87.58559655,POINT (-87.58559655163 41.727666039804),30
aa6fc8bae49f8df12335cca8675c342fcf558c5d348b769d2dd7b06c0626ecef7260f8c28d86d41d67fe2fd18447fce8b3992c985b04d26a13b39b1d6f65878f,2025/3/6 18:16,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T18:16:00.000,DISTRACTION - FROM INSIDE VEHICLE,NOT APPLICABLE,3938,N,LAVERGNE AVE,1634,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,5,3,41.9527012,-87.75236123,POINT (-87.752361230742 41.952701204255),30
3ea1c3a88dbe498c3d8317d8d54ea18c103f8efb16bfa30cae6e2fb9b85c8d5854f13ff44947b9bba58c12e06c3b52a3459889e62cb9f157de60804f9f2e4d1f,2025/3/6 18:05,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-03-06T18:40:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,8300,S,VINCENNES AVE,622,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,3,41.74350456,-87.6366628,POINT (-87.636662798126 41.743504557606),30
bdc4d95446e666fe56cf1789589e170814f382a3c6382283e8019da2820922623b65468887991c881c805939a7d31db3e1505e44c4fbe4e8f4839b8f13d5017e,2025/3/6 18:03,30,UNKNOWN,UNKNOWN,UNKNOWN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T19:00:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,1522,W,DIVERSEY PKWY,1932,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,3,41.93253414,-87.66690191,POINT (-87.666901907437 41.932534139261),30
be407cc2c310414dd265a8c6f39d8bea7a2845d0c1f4fe85b777c26b0f3abb0ad9d2e6f59dd44d4dc14aeaac3226e79bd1722b32a5eb59cb3b6506519586dfed,2025/3/6 18:01,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DAWN,PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-03-06T18:07:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6701,S,JEFFERY BLVD,331,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,3,0,18,5,3,41.77336022,-87.57634549,POINT (-87.576345488656 41.77336021958),30
4e00f33b9769cc5c38a3a388a9f5a9c569b006280dced667b38a8aeaaa16828e81763832df15220fda5daa89565ff1c8bcb3873c9a55525354b8bf0e6b317ba4,2025/3/6 18:00,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T18:46:00.000,IMPROPER OVERTAKING/PASSING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2026,S,CLARK ST,131,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,3,41.8545508,-87.63028972,POINT (-87.630289716366 41.854550801342),30
a0a478a8319a28a036e1557db6536b7040a8270da7e48e6f6a3381f63c231c8accd0be0cf820e332ede247836512ad107b65b079044322abbab62d37ff5b683a,2025/3/6 18:00,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-03-06T20:00:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,317,E,95TH ST,511,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,5,3,41.72175476,-87.61577281,POINT (-87.615772810012 41.721754759692),25
ab4fc6bae40ec170e26bfe5ebca4bf7d8c4038435f6265554eccd1bfcfa3d704cea075b93a6d385ef22a3c54832aacc9f43d17886e6b7d5a7db160763ef82dda,2025/3/6 18:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-03-06T18:05:00.000,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,4800,S,TRIPP AVE,815,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,3,41.80587343,-87.72979519,POINT (-87.729795191993 41.80587342497),30
bd6e473232c1589331ec2bb6c953d02d55ad2cf4907b338048f8fe90a8eb701a66ee923e2b20075ae2190df5498fd4289e4fb09d2ab736677720672b6b22be52,2025/3/6 17:57,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",2025-03-06T18:19:00.000,DISREGARDING TRAFFIC SIGNALS,DISREGARDING TRAFFIC SIGNALS,5500,S,WABASH AVE,225,2,NONINCAPACITATING INJURY,1,0,0,1,0,3,0,17,5,3,41.79426034,-87.62422442,POINT (-87.624224419257 41.794260343739),30
56eec176b1c4314b413abbbcff8b9a823fb332f7bce3e42d0dae5c07129f3092f146dd89e91d681211c81dd10b6d3f6f28fb85a64c2ede69b478600a95d899c5,2025/3/6 17:35,15,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,REAR TO SIDE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-03-06T17:38:00.000,NOT APPLICABLE,NOT APPLICABLE,2500,W,BRADLEY PL,1921,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,17,5,3,41.9495758,-87.69089237,POINT (-87.690892367522 41.949575803019),15
acbbea3ca59bbbc41bfa952b9d8cbee885622c8037e00b387bd50d5dda27ccf36393a2d78947b5d1bfa0eda4969b0c24d4df8323c6ec71ce5b9d73df7a09f216,2025/3/6 17:30,30,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN,UNKNOWN,TURNING,FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T18:15:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3200,N,BROADWAY,1925,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,17,5,3,41.9400969,-87.64454837,POINT (-87.644548366667 41.940096904389),30
485057dc0cd0a712c9abc070b2fdf0912fac9223a46ac44cdae166b2bfa7d038dd876c6277d88c5eac55081282046a41c64022506daec312da6eb4025cf60b0a,2025/3/6 17:25,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-03-06T17:35:00.000,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",2386,S,BLUE ISLAND AVE,1034,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,17,5,3,41.84906167,-87.67470409,POINT (-87.674704084975 41.849061671745),30
b88ffc138bdddd8724e82470a48afa43fcc27b6cf2c84582564d6d1338d5f5fff0d4f506f57f7967feee8d017c8353ba09ce01655330e76981709ba797ece161,2025/3/6 17:23,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T17:23:00.000,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,1258,N,PULASKI RD,2534,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,17,5,3,41.90440575,-87.72649376,POINT (-87.726493763188 41.904405752196),30
d9c4536037de0ba91a8a16927fb529917029b576939fc68f7256a1aa8e7315e331f43a74797dd812268e7ee789a8fd3ac175c9466cc2a0e48d5efc213899bde3,2025/3/6 17:20,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-03-06T17:30:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2295,S,ARCHER AVE,914,3,NO INDICATION OF INJURY,0,0,0,0,0,6,0,17,5,3,41.85101339,-87.63838107,POINT (-87.638381068145 41.851013385865),30
ed5fa27b5fa2b60b6e8e4d4a55de6a34d26492352227bf2d0201d9c73c973f08c2920815395838446e7015ed462c27c124865d87d1340159ebdfbd6ac0cc5919,2025/3/6 17:19,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T17:19:00.000,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3400,W,JACKSON BLVD,1123,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,17,5,3,41.87738546,-87.71101848,POINT (-87.711018479073 41.877385456343),30
ae2b67aaca966251aceadce74b1da78f1ebf5fd23511eba830e309191108cfd98a630476ac5733eb9b40fdeed24d18bc10e66b2ff8d06d5211ae4fe82ea7e5fe,2025/3/6 17:15,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,$500 OR LESS,2025-03-06T17:40:00.000,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,9900,S,HALSTED ST,2232,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,5,3,41.71411887,-87.64314541,POINT (-87.643145408182 41.71411886809),30
4e075c56068ca036041eca1f54430b4128d0dcc3a40901fc455a214f6d6e876e7322c14d8fe46f853f29000690c2f65c151649a2d2573bcb1f03d76a77a70d13,2025/3/6 17:11,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,TRAFFIC ROUTE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",2025-03-06T17:18:00.000,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,5760,W,GRAND AVE,2515,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,4,0,17,5,3,41.91973774,-87.77052497,POINT (-87.77052496584 41.91973773803),30
93e687cb9ecb91f50f460a8c822401d19b11a802d07f1f30be956ced487ff48b886d3db39768d6c8113fd313b58f86ac04edc292f91eeb8a9114e126d16839fd,2025/3/6 17:11,35,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,$500 OR LESS,2025-03-06T17:30:00.000,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,9918,S,VINCENNES AVE,2213,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,5,3,41.71351256,-87.65368028,POINT (-87.653680281891 41.71351256025),35
4245b23e331be4bf2d8557c6129a1f6be11ba1340cb6d8a1d2a182ad85a50d3e6b82acb1416f6f1d5f3e895e281aecca5fa32086a51329e8d7e0819dd16eeab2,2025/3/6 17:00,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,REAR END,UNKNOWN,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T17:25:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3400,S,STATE ST,211,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,5,3,41.83274287,-87.62680429,POINT (-87.626804287582 41.832742873307),30
4ec855d3cbef6781f6fab53ffe6a8f7f4791ddee1b2a9150bffde760d7156ac56c5dc67e910de1354f86a9831e11ca088799f182ca400e1178caa699c6bc67d8,2025/3/6 17:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-03-06T20:00:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,301,S,CALIFORNIA AVE,1125,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,5,3,41.87740065,-87.69604523,POINT (-87.696045231482 41.877400652044),30
